               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  77,            0.019875,            0.014802,           0.0040449,             0.61263,              0.5423,             0.53519,             0.37985,            0.025281,             0.01395,            0.019618,            0.002476,            0.002476,            0.002476
                  78,            0.020247,            0.015903,           0.0040998,             0.52027,             0.56358,             0.52803,             0.36518,            0.025529,            0.014244,            0.019483,            0.002377,            0.002377,            0.002377
                  79,            0.019781,            0.015853,           0.0054451,             0.54815,             0.58613,             0.55092,             0.39429,            0.024996,            0.014089,             0.01952,            0.002278,            0.002278,            0.002278
                  80,             0.02042,            0.016156,           0.0046193,             0.63245,             0.54879,             0.55604,             0.39361,            0.025547,            0.014349,            0.019254,            0.002179,            0.002179,            0.002179
                  81,            0.019116,            0.015393,           0.0041858,             0.61776,             0.57268,             0.57094,             0.40461,            0.025795,            0.014202,            0.020101,             0.00208,             0.00208,             0.00208
                  82,             0.01926,            0.015359,           0.0038362,             0.58693,             0.60094,              0.5513,             0.38858,            0.025823,            0.014296,            0.018994,            0.001981,            0.001981,            0.001981
                  83,            0.019478,            0.015599,           0.0045885,             0.58583,             0.56687,             0.55477,             0.39589,            0.026345,            0.014519,            0.017947,            0.001882,            0.001882,            0.001882
                  84,            0.019474,             0.01528,           0.0044167,             0.65467,             0.50196,             0.56016,             0.40371,            0.025845,            0.014441,            0.018444,            0.001783,            0.001783,            0.001783
                  85,            0.019653,            0.015787,           0.0038671,              0.6517,             0.51002,             0.55237,             0.40218,            0.025205,            0.014386,            0.019355,            0.001684,            0.001684,            0.001684
                  86,            0.018877,            0.014989,           0.0032876,             0.60508,             0.57742,              0.5501,             0.39756,            0.025205,            0.014333,            0.018779,            0.001585,            0.001585,            0.001585
                  87,            0.019356,            0.015647,           0.0032766,             0.65814,             0.52858,             0.56259,             0.41077,            0.025231,            0.014225,            0.016805,            0.001486,            0.001486,            0.001486
                  88,             0.01943,            0.015445,           0.0034415,             0.55693,             0.58499,              0.5655,             0.40463,            0.025025,            0.014346,            0.016916,            0.001387,            0.001387,            0.001387
                  89,            0.019241,              0.0148,           0.0037337,             0.54384,              0.6209,             0.56601,             0.40714,            0.025674,            0.014791,            0.017173,            0.001288,            0.001288,            0.001288
                  90,            0.018901,            0.014891,           0.0028135,             0.57941,             0.63148,             0.58872,             0.42412,            0.025587,            0.014977,            0.015885,            0.001189,            0.001189,            0.001189
                  91,            0.018532,            0.015024,           0.0028773,             0.59643,             0.62574,              0.5806,             0.41943,            0.025246,            0.014436,            0.016374,             0.00109,             0.00109,             0.00109
                  92,            0.018525,            0.015054,           0.0033559,             0.61532,             0.62631,             0.58008,             0.41296,            0.025401,            0.014572,            0.016144,            0.000991,            0.000991,            0.000991
                  93,            0.018283,            0.014348,           0.0031431,             0.59319,             0.61015,             0.57688,             0.41611,            0.025282,            0.014929,            0.016458,            0.000892,            0.000892,            0.000892
                  94,            0.017596,            0.014584,           0.0034152,              0.6411,             0.60183,             0.58926,             0.42032,            0.025459,            0.014925,            0.016607,            0.000793,            0.000793,            0.000793
                  95,            0.018014,            0.014553,           0.0034546,             0.59529,             0.61529,             0.58484,             0.41747,            0.025522,            0.014608,            0.016896,            0.000694,            0.000694,            0.000694
                  96,             0.01732,            0.014347,           0.0033855,             0.61264,             0.58692,             0.57352,             0.40725,            0.025581,             0.01483,            0.016846,            0.000595,            0.000595,            0.000595
                  97,            0.017977,            0.014628,            0.003354,             0.62059,             0.60878,             0.58456,              0.4196,            0.025476,            0.014657,            0.016824,            0.000496,            0.000496,            0.000496
                  98,            0.017529,             0.01471,           0.0031609,              0.6623,             0.58129,             0.58396,             0.41939,            0.025551,            0.014664,            0.016608,            0.000397,            0.000397,            0.000397
                  99,            0.017974,            0.014011,           0.0035536,             0.67035,             0.57756,             0.59174,             0.42496,            0.025632,            0.014773,            0.016557,            0.000298,            0.000298,            0.000298
